FREQ,REF_AREA,DATA_TYPE,RESULT,TIME_PERIOD,OBS_VALUE,Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente),_merge
A,1007,KILLINJ,M,2022,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,KILLINJ,M,2023,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,ROADACC,9,2020,1,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,ROADACC,9,2021,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,ROADACC,9,2022,0,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1007,ROADACC,9,2023,1,201.0,1007.0,Alpette,235.0,5.6261,2020.0,both
A,1008,KILLINJ,F,2020,25,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,F,2021,46,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,F,2022,31,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,F,2023,36,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,F,2024,24,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,M,2020,0,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,M,2021,0,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,M,2022,0,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,M,2023,1,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,KILLINJ,M,2024,0,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,ROADACC,9,2020,18,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,ROADACC,9,2021,30,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,ROADACC,9,2022,23,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,ROADACC,9,2023,27,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1008,ROADACC,9,2024,20,201.0,1008.0,Alpignano,16484.0,11.9193,2020.0,both
A,1009,KILLINJ,F,2020,1,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,F,2021,2,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,F,2022,3,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,F,2023,4,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,F,2024,3,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,M,2020,0,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,M,2021,0,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,M,2022,0,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,M,2023,0,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,KILLINJ,M,2024,0,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,ROADACC,9,2020,1,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,ROADACC,9,2021,2,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,ROADACC,9,2022,2,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,ROADACC,9,2023,2,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1009,ROADACC,9,2024,2,201.0,1009.0,Andezeno,2013.0,7.486,2020.0,both
A,1010,KILLINJ,F,2020,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,F,2021,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,F,2022,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,F,2023,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,F,2024,1,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,M,2020,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,M,2021,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,M,2022,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,M,2023,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,KILLINJ,M,2024,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,ROADACC,9,2020,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,ROADACC,9,2021,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,ROADACC,9,2022,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,ROADACC,9,2023,0,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1010,ROADACC,9,2024,1,201.0,1010.0,Andrate,488.0,9.3085,2020.0,both
A,1011,KILLINJ,F,2020,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,KILLINJ,F,2021,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,KILLINJ,F,2022,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,KILLINJ,F,2023,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,KILLINJ,M,2020,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,KILLINJ,M,2021,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,KILLINJ,M,2022,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,KILLINJ,M,2023,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,ROADACC,9,2020,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,ROADACC,9,2021,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,ROADACC,9,2022,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1011,ROADACC,9,2023,0,201.0,1011.0,Angrogna,838.0,38.8782,2020.0,both
A,1012,KILLINJ,F,2020,0,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,F,2021,2,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,F,2022,6,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,F,2023,1,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,F,2024,1,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,M,2020,0,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,M,2021,0,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,M,2022,1,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,M,2023,0,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,KILLINJ,M,2024,0,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,ROADACC,9,2020,0,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,ROADACC,9,2021,1,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,ROADACC,9,2022,3,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,ROADACC,9,2023,1,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1012,ROADACC,9,2024,1,201.0,1012.0,Arignano,1080.0,8.1668,2020.0,both
A,1013,KILLINJ,F,2020,39,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,F,2021,32,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,F,2022,50,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,F,2023,54,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,F,2024,47,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,M,2020,0,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,M,2021,0,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,M,2022,0,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,M,2023,1,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,KILLINJ,M,2024,1,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,ROADACC,9,2020,25,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
A,1013,ROADACC,9,2021,20,201.0,1013.0,Avigliana,12351.0,23.2172,2020.0,both
