ID_COMUNE,COMUNE,OBS_VALUE,RESIDENTI,SUPERFICIE (KMQ),DENSITA_POPOLAZIONE,DENSITA_INCIDENTI,INCIDENTI_PRO_CAPITE(1000)
1214,Rivalta di Torino,249,20127,25.1076,801.6297854036228,9.917315872484824,12.371441347443731
1215,Riva presso Chieri,37,4734,35.8318,132.11728129761832,1.032602325308804,7.81580059146599
1216,Rivara,12,2527,12.5838,200.81374465582732,0.9536070185476565,4.748713889988128
1217,Rivarolo Canavese,119,12302,32.2459,381.5058658620166,3.690391646689967,9.673223866038043
1218,Rivarossa,9,1542,10.8733,141.81527227244717,0.8277155969208979,5.836575875486381
1219,Rivoli,757,47807,29.4998,1620.5872582186998,25.661190923328295,15.834501223670173
1220,Robassomero,39,3042,8.5756,354.727366015206,4.547786743784692,12.82051282051282
1221,Rocca Canavese,3,1664,14.1912,117.25576413552061,0.21139861322509723,1.8028846153846154
1222,Roletto,5,1962,9.7039,202.18674965735426,0.5152567524397407,2.5484199796126403
1223,Romano Canavese,18,2606,11.2106,232.4585660000357,1.6056232494246518,6.907137375287797
1224,Ronco Canavese,0,296,96.2686,3.0747304936396707,0.0,0.0
1225,Rondissone,22,1867,10.6877,174.68678948698036,2.0584410116301917,11.783610069630424
1226,Rorà,1,228,12.4075,18.375982268789038,0.08059641345960104,4.385964912280701
1227,Roure,7,789,59.3732,13.288823913819703,0.11789831102248154,8.871989860583017
1228,Rosta,17,5044,9.065,556.4258135686707,1.8753447324875898,3.3703409992069786
1229,Rubiana,11,2352,26.9371,87.31452160774545,0.40835873200901357,4.6768707482993195
1230,Rueglio,1,777,15.1002,51.456272102356266,0.06622428842002093,1.287001287001287
1231,Salassa,10,1809,4.9519,365.314323794907,2.0194268866495686,5.527915975677169
1232,Salbertrand,21,609,38.3198,15.892567288973325,0.5480195616887353,34.48275862068965
1233,Salerano Canavese,2,462,2.1034,219.64438528097364,0.9508414947228296,4.329004329004329
1234,Salza di Pinerolo,0,75,15.8859,4.721167828073953,0.0,0.0
1235,Samone,10,1501,2.433,616.9338265515825,4.110152075626798,6.662225183211192
1236,San Benigno Canavese,32,5955,22.2318,267.85955253285834,1.439379627380599,5.373635600335852
1237,San Carlo Canavese,19,3980,20.9068,190.36868387318958,0.9087952245202517,4.773869346733669
1238,San Colombano Belmonte,1,362,3.3809,107.0720813984442,0.2957792303824425,2.7624309392265194
1239,San Didero,4,512,3.3037,154.977752217211,1.2107636891969609,7.8125
1240,San Francesco al Campo,10,4839,14.9796,323.0393334935512,0.6675745680792545,2.0665426741062203
1241,Sangano,20,3683,6.6513,553.7263392118834,3.006930975899448,5.430355688297583
1242,San Germano Chisone,5,1707,15.8616,107.6183991526706,0.3152267110505876,2.9291154071470418
1243,San Gillio,7,3173,8.8866,357.0544415186911,0.787702833479621,2.206114087614245
1244,San Giorgio Canavese,24,2520,20.4049,123.49974760964277,1.1761880724727882,9.523809523809526
1245,San Giorio di Susa,15,978,19.7366,49.5526078453229,0.7600093227810262,15.337423312883436
1246,San Giusto Canavese,22,3247,9.6132,337.76474014896183,2.2885199517330337,6.775485063135202
1247,San Martino Canavese,6,811,9.7933,82.81171821551469,0.6126637599174946,7.398273736128237
1248,San Maurizio Canavese,77,10144,17.3442,584.8641044268401,4.4395244519781825,7.590694006309148
1249,San Mauro Torinese,108,18589,12.5517,1480.994606308309,8.60441215134205,5.809887567916509
1250,San Pietro Val Lemina,4,1439,12.4446,115.632483165389,0.3214245536216512,2.779708130646282
1251,San Ponso,3,257,2.1243,120.98102904486184,1.4122299110295158,11.673151750972762
1252,San Raffaele Cimena,23,3098,11.152,277.7977044476327,2.062410329985653,7.424144609425436
1253,San Sebastiano da Po,23,1855,16.5766,111.90473317809443,1.3874980394049443,12.398921832884097
1254,San Secondo di Pinerolo,25,3615,12.5719,287.546035205498,1.9885617925691423,6.915629322268326
1255,Sant'Ambrogio di Torino,30,4597,8.3683,549.334990380364,3.584957518253409,6.525995214270176
1256,Sant'Antonino di Susa,24,4060,9.7945,414.5183521364031,2.450354790954107,5.9113300492610845
1257,Santena,63,10556,16.1983,651.6733237438497,3.8892970249964502,5.968169761273209
1258,Sauze di Cesana,2,250,78.2772,3.193778009433143,0.025550224075465144,8.0
1259,Sauze d'Oulx,1,1081,17.3112,62.44512223300522,0.05776607052081889,0.9250693802035153
1260,Scalenghe,14,3226,31.6768,101.84109506010708,0.4419638347307809,4.3397396156230625
1261,Scarmagno,16,806,8.0308,100.36360013946307,1.992329531304478,19.851116625310173
1262,Sciolze,3,1432,11.3557,126.10407108324453,0.2641845064593112,2.094972067039106
1263,Sestriere,6,922,25.9158,35.576752405868234,0.23151899613363275,6.507592190889371
1264,Settimo Rottaro,8,467,6.0578,77.09069299085476,1.3206114430981544,17.130620985010708
1265,Settimo Torinese,506,46348,31.4505,1473.6808635792752,16.088774423300105,10.91740743937171
1266,Settimo Vittone,13,1513,23.2604,65.04617289470517,0.5588897869340166,8.592200925313946
1267,Sparone,6,933,29.6785,31.436898765099315,0.20216655154404703,6.430868167202572
1268,Strambinello,6,266,2.214,120.14453477868112,2.710027100271003,22.55639097744361
1269,Strambino,50,6092,22.4686,271.1339380290717,2.2253277907835827,8.207485226526593
1270,Susa,96,5992,10.9879,545.3271325731032,8.73688329890152,16.02136181575434
1271,Tavagnasco,7,774,8.6751,89.22087353459902,0.8069071249899136,9.04392764857881
1272,Torino,13702,858205,130.0645,6598.303149591164,105.34773131792302,15.965882277544408
1273,Torrazza Piemonte,15,2974,9.8238,302.73417618436855,1.5269040493495387,5.043712172158709
1274,Torre Canavese,8,616,5.4545,112.9342744522871,1.4666788889907414,12.987012987012989
1275,Torre Pellice,18,4554,21.0981,215.84882050990376,0.8531573933197777,3.952569169960474
1276,Trana,26,3788,16.4059,230.8925447552405,1.5847957137371314,6.863780359028511
1278,Traversella,2,323,39.3597,8.206363361509363,0.05081339542730255,6.191950464396285
1279,Traves,8,506,10.4544,48.400673400673405,0.7652280379553107,15.810276679841897
1280,Trofarello,47,10611,12.3475,859.3642437740433,3.8064385503138287,4.429365752520969
1281,Usseaux,5,180,37.9669,4.740971741174549,0.13169365947707082,27.777777777777775
1282,Usseglio,2,200,98.5375,2.0296841304072055,0.020296841304072055,10.0
1283,Vaie,8,1398,7.2292,193.38239362585074,1.1066231394898467,5.7224606580829755
1284,Val della Torre,15,3965,36.5253,108.55489208849755,0.4106742449754006,3.7831021437578816
1285,Valgioie,3,947,9.12,103.83771929824562,0.32894736842105265,3.1678986272439285
1286,Vallo Torinese,2,788,6.0792,129.62231872614817,0.3289906566653507,2.5380710659898473
1287,Valperga,10,2991,11.9094,251.14615345861253,0.839672863452399,3.343363423604146
1288,Valprato Soana,1,93,71.8527,1.2943146186573364,0.013917361490939101,10.752688172043012
1289,Varisella,8,845,22.5579,37.459160648819264,0.35464294105391014,9.467455621301776
1290,Vauda Canavese,7,1443,7.0929,203.44287949921753,0.9869023953530995,4.851004851004851
1291,Venaus,11,877,19.1435,45.81189437668138,0.5746075691487973,12.542759407069555
1292,Venaria Reale,333,32682,20.4424,1598.7359605525771,16.28967244550542,10.189094914631907
1293,Verolengo,57,4766,29.4882,161.62397162254732,1.9329765804626937,11.95971464540495
1294,Verrua Savoia,11,1340,31.9431,41.94959161759503,0.3443623192489145,8.208955223880597
