ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ)
1010,incidenti_stradali,incidenti,2022,0,201,Andrate,488,9.3085
1010,incidenti_stradali,incidenti,2023,0,201,Andrate,488,9.3085
1010,incidenti_stradali,incidenti,2024,1,201,Andrate,488,9.3085
1011,morti_e_feriti,feriti,2020,0,201,Angrogna,838,38.8782
1011,morti_e_feriti,feriti,2021,0,201,Angrogna,838,38.8782
1011,morti_e_feriti,feriti,2022,0,201,Angrogna,838,38.8782
1011,morti_e_feriti,feriti,2023,0,201,Angrogna,838,38.8782
1011,morti_e_feriti,morti,2020,0,201,Angrogna,838,38.8782
1011,morti_e_feriti,morti,2021,0,201,Angrogna,838,38.8782
1011,morti_e_feriti,morti,2022,0,201,Angrogna,838,38.8782
1011,morti_e_feriti,morti,2023,0,201,Angrogna,838,38.8782
1011,incidenti_stradali,incidenti,2020,0,201,Angrogna,838,38.8782
1011,incidenti_stradali,incidenti,2021,0,201,Angrogna,838,38.8782
1011,incidenti_stradali,incidenti,2022,0,201,Angrogna,838,38.8782
1011,incidenti_stradali,incidenti,2023,0,201,Angrogna,838,38.8782
1012,morti_e_feriti,feriti,2020,0,201,Arignano,1080,8.1668
1012,morti_e_feriti,feriti,2021,2,201,Arignano,1080,8.1668
1012,morti_e_feriti,feriti,2022,6,201,Arignano,1080,8.1668
1012,morti_e_feriti,feriti,2023,1,201,Arignano,1080,8.1668
1012,morti_e_feriti,feriti,2024,1,201,Arignano,1080,8.1668
1012,morti_e_feriti,morti,2020,0,201,Arignano,1080,8.1668
1012,morti_e_feriti,morti,2021,0,201,Arignano,1080,8.1668
1012,morti_e_feriti,morti,2022,1,201,Arignano,1080,8.1668
1012,morti_e_feriti,morti,2023,0,201,Arignano,1080,8.1668
1012,morti_e_feriti,morti,2024,0,201,Arignano,1080,8.1668
1012,incidenti_stradali,incidenti,2020,0,201,Arignano,1080,8.1668
1012,incidenti_stradali,incidenti,2021,1,201,Arignano,1080,8.1668
