Codice Provincia/Uts,Codice Comune (numerico),Comune,Popolazione residente,Superficie (Kmq),Anno (Popolazione residente)
2,2014,Boccioleto,160,33.8706,2020
2,2015,Borgo d'Ale,2260,39.5707,2020
2,2016,Borgosesia,12250,41.0901,2020
2,2017,Borgo Vercelli,2228,19.2949,2020
2,2021,Buronzo,837,25.0776,2020
2,2025,Campertogno,214,34.1364,2020
2,2029,Carcoforo,73,22.8004,2020
2,2030,Caresana,1039,24.1087,2020
2,2031,Caresanablot,1096,11.0218,2020
2,2032,Carisio,766,30.1062,2020
2,2033,Casanova Elvo,223,16.205,2020
2,2035,San Giacomo Vercellese,292,9.6044,2020
2,2041,Cervatto,52,9.538,2020
2,2042,Cigliano,4283,25.3078,2020
2,2043,Civiasco,239,7.3878,2020
2,2045,Collobiano,86,9.2234,2020
2,2047,Costanzana,748,20.9676,2020
2,2048,Cravagliana,252,34.8563,2020
2,2049,Crescentino,7611,48.2233,2020
2,2052,Crova,394,14.0162,2020
2,2054,Desana,1061,16.4768,2020
2,2057,Fobello,185,28.1403,2020
2,2058,Fontanetto Po,1079,23.2424,2020
2,2059,Formigliana,495,16.7629,2020
2,2061,Gattinara,7572,33.6659,2020
2,2062,Ghislarengo,814,12.503,2020
2,2065,Greggio,340,11.8817,2020
2,2066,Guardabosone,339,6.0875,2020
2,2067,Lamporo,509,9.644,2020
2,2068,Lenta,797,18.9701,2020
2,2070,Lignana,526,22.574,2020
2,2071,Livorno Ferraris,4183,58.028,2020
2,2072,Lozzolo,800,6.6672,2020
2,2078,Mollia,95,13.9178,2020
2,2079,Moncrivello,1380,20.1818,2020
2,2082,Motta de' Conti,738,11.715,2020
2,2088,Olcenengo,783,16.5035,2020
2,2089,Oldenico,213,6.527,2020
2,2090,Palazzolo Vercellese,1098,13.9396,2020
2,2091,Pertengo,272,8.2949,2020
2,2093,Pezzana,1266,17.3517,2020
2,2096,Pila,138,8.6903,2020
2,2097,Piode,186,13.5976,2020
2,2102,Postua,571,16.1782,2020
2,2104,Prarolo,719,11.5388,2020
2,2107,Quarona,3878,16.156,2020
2,2108,Quinto Vercellese,395,10.9022,2020
2,2110,Rassa,67,43.2698,2020
2,2113,Rimella,128,26.2702,2020
2,2115,Rive,426,9.4089,2020
2,2116,Roasio,2283,27.916,2020
2,2118,Ronsecco,544,24.4754,2020
2,2121,Rossa,183,11.8379,2020
2,2122,Rovasenda,912,29.2681,2020
2,2126,Salasco,201,12.1875,2020
2,2127,Sali Vercellese,98,8.7766,2020
2,2128,Saluggia,3792,31.5981,2020
2,2131,San Germano Vercellese,1474,30.6327,2020
2,2133,Santhià,8122,53.1294,2020
2,2134,Scopa,373,22.5335,2020
2,2135,Scopello,366,18.2544,2020
2,2137,Serravalle Sesia,4717,20.9053,2020
2,2142,Stroppiana,1178,18.314,2020
2,2147,Tricerro,672,12.2491,2020
2,2148,Trino,6771,70.6054,2020
2,2150,Tronzano Vercellese,3383,44.7508,2020
2,2152,Valduggia,1882,28.4259,2020
2,2156,Varallo,6931,102.973,2020
2,2158,Vercelli,45425,79.7743,2020
2,2163,Villarboit,398,25.5109,2020
2,2164,Villata,1517,14.5822,2020
2,2166,Vocca,158,20.2573,2020
2,2170,Alto Sermenza,149,60.3259,2020
2,2171,Cellio con Breia,941,17.2793,2020
3,3001,Agrate Conturbia,1551,14.5364,2020
3,3002,Ameno,884,9.9965,2020
3,3006,Armeno,2102,31.5154,2020
3,3008,Arona,13796,15.1698,2020
3,3012,Barengo,747,19.4928,2020
3,3016,Bellinzago Novarese,9455,39.1786,2020
3,3018,Biandrate,1328,12.4536,2020
3,3019,Boca,1129,9.608,2020
3,3021,Bogogno,1293,8.5097,2020
3,3022,Bolzano Novarese,1157,3.3043,2020
3,3023,Borgolavezzaro,1967,21.0913,2020
3,3024,Borgomanero,21383,32.2699,2020
3,3025,Borgo Ticino,5159,13.3738,2020
3,3026,Briga Novarese,2801,4.7479,2020
3,3027,Briona,1087,24.7562,2020
3,3030,Caltignaga,2504,22.3213,2020
3,3032,Cameri,10708,39.985,2020
3,3036,Carpignano Sesia,2463,14.6557,2020
3,3037,Casalbeltrame,981,16.0407,2020
3,3039,Casaleggio Novara,905,10.531,2020
3,3040,Casalino,1526,39.4901,2020
3,3041,Casalvolone,872,17.4849,2020
3,3042,Castellazzo Novarese,318,10.7918,2020
3,3043,Castelletto sopra Ticino,9820,14.6411,2020
3,3044,Cavaglietto,386,6.4855,2020
3,3045,Cavaglio d'Agogna,1172,9.8335,2020
3,3047,Cavallirio,1302,8.3261,2020
3,3049,Cerano,6645,32.6332,2020
3,3051,Colazza,514,3.1618,2020
3,3052,Comignago,1222,4.4493,2020
3,3055,Cressa,1619,7.1035,2020
3,3058,Cureggio,2587,8.5068,2020
3,3060,Divignano,1400,5.0977,2020
3,3062,Dormelletto,2561,7.2522,2020
3,3065,Fara Novarese,1977,9.2147,2020
3,3066,Fontaneto d'Agogna,2579,21.1702,2020
3,3068,Galliate,15516,29.3662,2020
3,3069,Garbagna Novarese,1400,10.0494,2020
3,3070,Gargallo,1750,3.7542,2020
3,3073,Ghemme,3373,20.6442,2020
3,3076,Gozzano,5403,12.5821,2020
3,3077,Granozzo con Monticello,1336,19.5208,2020
3,3079,Grignasco,4307,14.3337,2020
3,3082,Invorio,4297,17.3717,2020
3,3083,Landiona,546,7.2834,2020
3,3084,Lesa,2165,13.5806,2020
3,3088,Maggiora,1601,10.6587,2020
3,3090,Mandello Vitta,224,5.8541,2020
3,3091,Marano Ticino,1586,7.7879,2020
3,3093,Massino Visconti,1124,6.8639,2020
3,3095,Meina,2400,7.5349,2020
3,3097,Mezzomerico,1213,7.7187,2020
3,3098,Miasino,796,5.521,2020
3,3100,Momo,2412,23.5907,2020
3,3103,Nebbiuno,1770,8.2651,2020
3,3104,Nibbiola,800,11.3421,2020
3,3106,Novara,102225,103.0492,2020
3,3108,Oleggio,14148,37.7943,2020
3,3109,Oleggio Castello,2149,5.9351,2020
3,3112,Orta San Giulio,1279,6.65,2020
3,3114,Paruzzaro,2147,5.2272,2020
3,3115,Pella,891,8.1345,2020
3,3116,Pettenasco,1312,7.0713,2020
3,3119,Pisano,809,2.7659,2020
3,3120,Pogno,1370,9.8653,2020
3,3121,Pombia,2131,12.2966,2020
3,3122,Prato Sesia,1844,12.126,2020
3,3129,Recetto,941,8.8526,2020
3,3130,Romagnano Sesia,3751,17.9764,2020
3,3131,Romentino,5595,17.6906,2020
3,3133,San Maurizio d'Opaglio,3001,8.5099,2020
3,3134,San Nazzaro Sesia,745,11.4512,2020
3,3135,San Pietro Mosezzo,2019,34.8992,2020
3,3138,Sillavengo,555,9.5352,2020
3,3139,Sizzano,1382,10.7543,2020
3,3140,Soriso,723,6.3719,2020
3,3141,Sozzago,1089,12.9144,2020
3,3143,Suno,2708,21.3271,2020
3,3144,Terdobbiate,463,8.4632,2020
3,3146,Tornaco,882,13.2408,2020
3,3149,Trecate,20395,38.2224,2020
3,3153,Vaprio d'Agogna,962,10.0123,2020
3,3154,Varallo Pombia,4847,13.612,2020
3,3158,Vespolate,2006,17.7798,2020
3,3159,Vicolungo,868,13.2939,2020
3,3164,Vinzaglio,538,15.4636,2020
3,3166,Gattico-Veruno,5231,26.1601,2020
4,4001,Acceglio,153,151.5276,2020
4,4002,Aisone,210,36.9173,2020
4,4003,Alba,31250,53.5853,2020
4,4004,Albaretto della Torre,234,4.5899,2020
4,4005,Alto,139,7.4616,2020
4,4006,Argentera,78,76.2591,2020
4,4007,Arguello,196,4.9174,2020
4,4008,Bagnasco,995,30.949,2020
4,4009,Bagnolo Piemonte,5838,63.2505,2020
4,4010,Baldissero d'Alba,1049,15.3257,2020
4,4011,Barbaresco,617,7.7637,2020
4,4012,Barge,7497,81.9923,2020
4,4013,Barolo,682,5.6892,2020
4,4014,Bastia Mondovì,639,12.0006,2020
4,4015,Battifollo,209,11.1195,2020
4,4016,Beinette,3426,17.6865,2020
4,4017,Bellino,97,62.07,2020
4,4018,Belvedere Langhe,338,5.003,2020
4,4019,Bene Vagienna,3634,48.9673,2020
4,4020,Benevello,483,5.4389,2020
4,4021,Bergolo,54,3.1118,2020
4,4022,Bernezzo,4207,25.8445,2020
4,4023,Bonvicino,96,7.2409,2020
4,4024,Borgomale,385,8.4778,2020
4,4025,Borgo San Dalmazzo,12439,22.3397,2020
4,4026,Bosia,174,5.5405,2020
4,4027,Bossolasco,642,14.5453,2020
4,4028,Boves,9636,50.9483,2020
4,4029,Bra,29568,59.5298,2020
4,4030,Briaglia,298,6.2376,2020
4,4031,Briga Alta,41,52.1796,2020
4,4032,Brondello,263,10.124,2020
4,4033,Brossasco,1009,28.0639,2020
4,4034,Busca,10078,76.7643,2020
4,4035,Camerana,578,23.6378,2020
4,4037,Canale,5512,17.8655,2020
4,4038,Canosio,79,48.4476,2020
4,4039,Caprauna,96,11.5018,2020
4,4040,Caraglio,6763,41.6759,2020
4,4041,Caramagna Piemonte,3032,26.3287,2020
4,4042,Cardè,1138,19.3047,2020
4,4043,Carrù,4313,25.838,2020
4,4044,Cartignano,171,6.4192,2020
4,4045,Casalgrasso,1403,17.8066,2020
4,4046,Castagnito,2206,7.1148,2020
4,4047,Casteldelfino,152,33.9513,2020
4,4049,Castelletto Stura,1362,17.1301,2020
4,4050,Castelletto Uzzone,309,14.8584,2020
4,4051,Castellinaldo d'Alba,905,7.8028,2020
