Codice Ripartizione geografica,Codice Regione,Codice Provincia/Uts,Codice Comune (alfanumerico),Codice Comune (numerico),Comune,Comune (dizione straniera),Sigla automobilistica,Capoluogo di Provincia/Uts,Capoluogo di Regione,Popolazione legale,Anno Censimento,Superficie (Kmq),Anno (Superficie),Popolazione residente,Anno (Popolazione residente),TIME_PERIOD,Codice Provincia (Storico)
1,1,1,1066,1066,Castellamonte,,TO,0,0,8979.0,2001,"38,7062",2001,8959,2001,2001,
1,1,1,1067,1067,Castelnuovo Nigra,,TO,0,0,440.0,2001,"28,3756",2001,441,2001,2001,
1,1,1,1068,1068,Castiglione Torinese,,TO,0,0,5480.0,2001,"14,1346",2001,5485,2001,2001,
1,1,1,1069,1069,Cavagnolo,,TO,0,0,2281.0,2001,"12,3285",2001,2290,2001,2001,
1,1,1,1070,1070,Cavour,,TO,0,0,5283.0,2001,"48,9591",2001,5280,2001,2001,
1,1,1,1071,1071,Cercenasco,,TO,0,0,1774.0,2001,"13,1595",2001,1774,2001,2001,
1,1,1,1072,1072,Ceres,,TO,0,0,1030.0,2001,"28,0516",2001,1027,2001,2001,
1,1,1,1073,1073,Ceresole Reale,,TO,0,0,160.0,2001,"99,8139",2001,163,2001,2001,
1,1,1,1074,1074,Cesana Torinese,,TO,0,0,956.0,2001,"121,7001",2001,967,2001,2001,
1,1,1,1075,1075,Chialamberto,,TO,0,0,362.0,2001,"35,4478",2001,362,2001,2001,
1,1,1,1076,1076,Chianocco,,TO,0,0,1690.0,2001,"18,5698",2001,1693,2001,2001,
1,1,1,1077,1077,Chiaverano,,TO,0,0,2198.0,2001,"12,0221",2001,2183,2001,2001,
1,1,1,1078,1078,Chieri,,TO,0,0,32868.0,2001,"54,1975",2001,32912,2001,2001,
1,1,1,1079,1079,Chiesanuova,,TO,0,0,199.0,2001,"4,1189",2001,197,2001,2001,
1,1,1,1080,1080,Chiomonte,,TO,0,0,1011.0,2001,"26,7549",2001,1003,2001,2001,
1,1,1,1081,1081,Chiusa di San Michele,,TO,0,0,1602.0,2001,"5,9165",2001,1595,2001,2001,
1,1,1,1082,1082,Chivasso,,TO,0,0,23648.0,2001,"51,2377",2001,23627,2001,2001,
1,1,1,1083,1083,Ciconio,,TO,0,0,345.0,2001,"3,1638",2001,341,2001,2001,
1,1,1,1084,1084,Cintano,,TO,0,0,244.0,2001,"4,9345",2001,268,2001,2001,
1,1,1,1085,1085,Cinzano,,TO,0,0,331.0,2001,"6,1962",2001,338,2001,2001,
1,1,1,1086,1086,Ciriè,,TO,0,0,18188.0,2001,"17,7329",2001,18180,2001,2001,
1,1,1,1087,1087,Claviere,,TO,0,0,163.0,2001,"2,6872",2001,156,2001,2001,
1,1,1,1088,1088,Coassolo Torinese,,TO,0,0,1470.0,2001,"27,8788",2001,1469,2001,2001,
1,1,1,1089,1089,Coazze,,TO,0,0,2889.0,2001,"56,5727",2001,2889,2001,2001,
1,1,1,1090,1090,Collegno,,TO,0,0,46641.0,2001,"18,0993",2001,46560,2001,2001,
1,1,1,1091,1091,Colleretto Castelnuovo,,TO,0,0,316.0,2001,"6,3321",2001,316,2001,2001,
1,1,1,1092,1092,Colleretto Giacosa,,TO,0,0,627.0,2001,"4,5895",2001,632,2001,2001,
1,1,1,1093,1093,Condove,,TO,0,0,4380.0,2001,"71,1131",2001,4384,2001,2001,
1,1,1,1094,1094,Corio,,TO,0,0,3163.0,2001,"41,4914",2001,3162,2001,2001,
1,1,1,1095,1095,Cossano Canavese,,TO,0,0,550.0,2001,"3,2384",2001,545,2001,2001,
1,1,1,1096,1096,Cuceglio,,TO,0,0,925.0,2001,"6,8709",2001,925,2001,2001,
1,1,1,1097,1097,Cumiana,,TO,0,0,6846.0,2001,"60,7335",2001,6823,2001,2001,
1,1,1,1098,1098,Cuorgnè,,TO,0,0,10032.0,2001,"19,3133",2001,9995,2001,2001,
1,1,1,1099,1099,Druento,,TO,0,0,8235.0,2001,"27,5395",2001,8229,2001,2001,
1,1,1,1100,1100,Exilles,,TO,0,0,284.0,2001,"46,5474",2001,283,2001,2001,
1,1,1,1101,1101,Favria,,TO,0,0,4324.0,2001,"14,8499",2001,4314,2001,2001,
1,1,1,1102,1102,Feletto,,TO,0,0,2344.0,2001,"7,8929",2001,2339,2001,2001,
1,1,1,1103,1103,Fenestrelle,,TO,0,0,615.0,2001,"49,4090",2001,610,2001,2001,
1,1,1,1104,1104,Fiano,,TO,0,0,2558.0,2001,"12,0415",2001,2549,2001,2001,
1,1,1,1105,1105,Fiorano Canavese,,TO,0,0,868.0,2001,"4,3457",2001,870,2001,2001,
1,1,1,1106,1106,Foglizzo,,TO,0,0,2183.0,2001,"15,6427",2001,2179,2001,2001,
1,1,1,1107,1107,Forno Canavese,,TO,0,0,3716.0,2001,"16,5075",2001,3714,2001,2001,
1,1,1,1108,1108,Frassinetto,,TO,0,0,287.0,2001,"24,8185",2001,288,2001,2001,
1,1,1,1109,1109,Front,,TO,0,0,1628.0,2001,"10,9482",2001,1624,2001,2001,
1,1,1,1110,1110,Frossasco,,TO,0,0,2707.0,2001,"20,1488",2001,2716,2001,2001,
1,1,1,1111,1111,Garzigliana,,TO,0,0,544.0,2001,"7,4018",2001,540,2001,2001,
1,1,1,1112,1112,Gassino Torinese,,TO,0,0,9015.0,2001,"20,5109",2001,9040,2001,2001,
1,1,1,1113,1113,Germagnano,,TO,0,0,1294.0,2001,"14,4438",2001,1281,2001,2001,
1,1,1,1114,1114,Giaglione,,TO,0,0,692.0,2001,"33,3833",2001,695,2001,2001,
1,1,1,1115,1115,Giaveno,,TO,0,0,14554.0,2001,"71,7376",2001,14525,2001,2001,
1,1,1,1116,1116,Givoletto,,TO,0,0,2188.0,2001,"12,8200",2001,2194,2001,2001,
1,1,1,1117,1117,Gravere,,TO,0,0,682.0,2001,"18,9870",2001,680,2001,2001,
1,1,1,1118,1118,Groscavallo,,TO,0,0,214.0,2001,"92,0935",2001,216,2001,2001,
1,1,1,1119,1119,Grosso,,TO,0,0,988.0,2001,"4,3297",2001,982,2001,2001,
1,1,1,1120,1120,Grugliasco,,TO,0,0,38725.0,2001,"13,1320",2001,38647,2001,2001,
1,1,1,1121,1121,Ingria,,TO,0,0,61.0,2001,"14,7506",2001,61,2001,2001,
1,1,1,1122,1122,Inverso Pinasca,,TO,0,0,659.0,2001,"8,0292",2001,661,2001,2001,
1,1,1,1123,1123,Isolabella,,TO,0,0,398.0,2001,"4,7716",2001,397,2001,2001,
1,1,1,1124,1124,Issiglio,,TO,0,0,402.0,2001,"5,5042",2001,406,2001,2001,
1,1,1,1125,1125,Ivrea,,TO,0,0,23536.0,2001,"30,1074",2001,23521,2001,2001,
1,1,1,1126,1126,La Cassa,,TO,0,0,1326.0,2001,"12,0353",2001,1330,2001,2001,
1,1,1,1127,1127,La Loggia,,TO,0,0,6485.0,2001,"12,7825",2001,6460,2001,2001,
1,1,1,1128,1128,Lanzo Torinese,,TO,0,0,5141.0,2001,"10,2876",2001,5141,2001,2001,
1,1,1,1129,1129,Lauriano,,TO,0,0,1398.0,2001,"14,2899",2001,1385,2001,2001,
1,1,1,1130,1130,Leini,,TO,0,0,11946.0,2001,"32,4355",2001,11930,2001,2001,
1,1,1,1131,1131,Lemie,,TO,0,0,218.0,2001,"45,6753",2001,218,2001,2001,
1,1,1,1132,1132,Lessolo,,TO,0,0,1956.0,2001,"7,9366",2001,1955,2001,2001,
1,1,1,1133,1133,Levone,,TO,0,0,491.0,2001,"5,3912",2001,484,2001,2001,
1,1,1,1134,1134,Locana,,TO,0,0,1806.0,2001,"132,5162",2001,1804,2001,2001,
1,1,1,1135,1135,Lombardore,,TO,0,0,1511.0,2001,"12,7158",2001,1507,2001,2001,
1,1,1,1136,1136,Lombriasco,,TO,0,0,1004.0,2001,"7,2095",2001,1006,2001,2001,
1,1,1,1137,1137,Loranzè,,TO,0,0,1003.0,2001,"4,1914",2001,1003,2001,2001,
1,1,1,1138,1138,Lugnacco,,TO,0,0,338.0,2001,"4,8835",2001,334,2001,2001,
1,1,1,1139,1139,Luserna San Giovanni,,TO,0,0,7866.0,2001,"17,7414",2001,7858,2001,2001,
1,1,1,1140,1140,Lusernetta,,TO,0,0,496.0,2001,"7,0398",2001,489,2001,2001,
1,1,1,1141,1141,Lusigliè,,TO,0,0,536.0,2001,"5,2585",2001,537,2001,2001,
1,1,1,1142,1142,Macello,,TO,0,0,1153.0,2001,"14,1404",2001,1149,2001,2001,
1,1,1,1143,1143,Maglione,,TO,0,0,488.0,2001,"6,3129",2001,491,2001,2001,
1,1,1,1144,1144,Marentino,,TO,0,0,1190.0,2001,"11,2593",2001,1190,2001,2001,
1,1,1,1145,1145,Massello,,TO,0,0,74.0,2001,"38,2587",2001,72,2001,2001,
1,1,1,1146,1146,Mathi,,TO,0,0,3970.0,2001,"7,0706",2001,3965,2001,2001,
1,1,1,1147,1147,Mattie,,TO,0,0,702.0,2001,"28,6942",2001,695,2001,2001,
1,1,1,1148,1148,Mazzè,,TO,0,0,3973.0,2001,"27,3425",2001,3961,2001,2001,
1,1,1,1149,1149,Meana di Susa,,TO,0,0,921.0,2001,"16,5440",2001,916,2001,2001,
1,1,1,1150,1150,Mercenasco,,TO,0,0,1186.0,2001,"12,6383",2001,1180,2001,2001,
1,1,1,1151,1151,Meugliano,,TO,0,0,109.0,2001,"4,4420",2001,104,2001,2001,
1,1,1,1152,1152,Mezzenile,,TO,0,0,900.0,2001,"29,0871",2001,887,2001,2001,
1,1,1,1153,1153,Mombello di Torino,,TO,0,0,395.0,2001,"4,0825",2001,395,2001,2001,
1,1,1,1154,1154,Mompantero,,TO,0,0,668.0,2001,"30,3332",2001,662,2001,2001,
1,1,1,1155,1155,Monastero di Lanzo,,TO,0,0,428.0,2001,"17,6553",2001,424,2001,2001,
1,1,1,1156,1156,Moncalieri,,TO,0,0,53350.0,2001,"47,5286",2001,53346,2001,2001,
1,1,1,1157,1157,Moncenisio,,TO,0,0,46.0,2001,"4,5007",2001,43,2001,2001,
1,1,1,1158,1158,Montaldo Torinese,,TO,0,0,589.0,2001,"4,6567",2001,588,2001,2001,
1,1,1,1159,1159,Montalenghe,,TO,0,0,890.0,2001,"6,4681",2001,886,2001,2001,
1,1,1,1160,1160,Montalto Dora,,TO,0,0,3465.0,2001,"7,3567",2001,3458,2001,2001,
1,1,1,1161,1161,Montanaro,,TO,0,0,5274.0,2001,"20,9036",2001,5272,2001,2001,
1,1,1,1162,1162,Monteu da Po,,TO,0,0,828.0,2001,"7,3896",2001,831,2001,2001,
1,1,1,1163,1163,Moriondo Torinese,,TO,0,0,763.0,2001,"6,4895",2001,757,2001,2001,
1,1,1,1164,1164,Nichelino,,TO,0,0,47791.0,2001,"20,5625",2001,47786,2001,2001,
1,1,1,1165,1165,Noasca,,TO,0,0,202.0,2001,"78,0453",2001,202,2001,2001,
1,1,1,1166,1166,Nole,,TO,0,0,6242.0,2001,"11,3530",2001,6236,2001,2001,
1,1,1,1167,1167,Nomaglio,,TO,0,0,333.0,2001,"3,0743",2001,334,2001,2001,
1,1,1,1168,1168,None.,,TO,0,0,7761.0,2001,"24,6422",2001,7749,2001,2001,
1,1,1,1169,1169,Novalesa,,TO,0,0,549.0,2001,"28,5542",2001,543,2001,2001,
1,1,1,1170,1170,Oglianico,,TO,0,0,1291.0,2001,"6,3030",2001,1291,2001,2001,
1,1,1,1171,1171,Orbassano,,TO,0,0,21581.0,2001,"22,2079",2001,21552,2001,2001,
1,1,1,1172,1172,Orio Canavese,,TO,0,0,781.0,2001,"7,1541",2001,777,2001,2001,
1,1,1,1173,1173,Osasco,,TO,0,0,944.0,2001,"5,4885",2001,951,2001,2001,
1,1,1,1174,1174,Osasio,,TO,0,0,738.0,2001,"4,5770",2001,737,2001,2001,
1,1,1,1175,1175,Oulx,,TO,0,0,2657.0,2001,"99,7857",2001,2676,2001,2001,
1,1,1,1176,1176,Ozegna,,TO,0,0,1172.0,2001,"5,4058",2001,1167,2001,2001,
1,1,1,1177,1177,Palazzo Canavese,,TO,0,0,782.0,2001,"5,0819",2001,782,2001,2001,
1,1,1,1178,1178,Pancalieri,,TO,0,0,1884.0,2001,"15,8878",2001,1878,2001,2001,
1,1,1,1179,1179,Parella,,TO,0,0,473.0,2001,"2,6886",2001,463,2001,2001,
1,1,1,1180,1180,Pavarolo,,TO,0,0,920.0,2001,"4,4056",2001,913,2001,2001,
1,1,1,1181,1181,Pavone Canavese,,TO,0,0,3776.0,2001,"11,5401",2001,3758,2001,2001,
1,1,1,1182,1182,Pecco,,TO,0,0,224.0,2001,"1,5680",2001,224,2001,2001,
1,1,1,1183,1183,Pecetto Torinese,,TO,0,0,3690.0,2001,"9,1731",2001,3685,2001,2001,
1,1,1,1184,1184,Perosa Argentina,,TO,0,0,3731.0,2001,"26,0906",2001,3728,2001,2001,
1,1,1,1185,1185,Perosa Canavese,,TO,0,0,559.0,2001,"4,7080",2001,558,2001,2001,
1,1,1,1186,1186,Perrero,,TO,0,0,773.0,2001,"63,1830",2001,765,2001,2001,
1,1,1,1187,1187,Pertusio,,TO,0,0,699.0,2001,"4,0041",2001,700,2001,2001,
1,1,1,1188,1188,Pessinetto,,TO,0,0,607.0,2001,"5,3498",2001,604,2001,2001,
1,1,1,1189,1189,Pianezza,,TO,0,0,11236.0,2001,"16,4635",2001,11229,2001,2001,
1,1,1,1190,1190,Pinasca,,TO,0,0,2952.0,2001,"34,7183",2001,2942,2001,2001,
1,1,1,1191,1191,Pinerolo,,TO,0,0,33494.0,2001,"50,3375",2001,33457,2001,2001,
1,1,1,1192,1192,Pino Torinese,,TO,0,0,8234.0,2001,"21,8196",2001,8239,2001,2001,
1,1,1,1193,1193,Piobesi Torinese,,TO,0,0,3232.0,2001,"19,6487",2001,3240,2001,2001,
1,1,1,1194,1194,Piossasco,,TO,0,0,16138.0,2001,"40,1459",2001,16127,2001,2001,
1,1,1,1195,1195,Piscina,,TO,0,0,3146.0,2001,"9,9035",2001,3142,2001,2001,
1,1,1,1196,1196,Piverone,,TO,0,0,1262.0,2001,"11,0343",2001,1253,2001,2001,
1,1,1,1197,1197,Poirino,,TO,0,0,8962.0,2001,"75,6187",2001,8985,2001,2001,
1,1,1,1198,1198,Pomaretto,,TO,0,0,1084.0,2001,"8,5611",2001,1081,2001,2001,
1,1,1,1199,1199,Pont Canavese,,TO,0,0,3778.0,2001,"19,0609",2001,3757,2001,2001,
1,1,1,1200,1200,Porte,,TO,0,0,940.0,2001,"4,4476",2001,938,2001,2001,
1,1,1,1201,1201,Pragelato,,TO,0,0,448.0,2001,"89,2017",2001,442,2001,2001,
1,1,1,1202,1202,Prali,,TO,0,0,312.0,2001,"72,6092",2001,311,2001,2001,
1,1,1,1203,1203,Pralormo,,TO,0,0,1801.0,2001,"29,8455",2001,1791,2001,2001,
1,1,1,1204,1204,Pramollo,,TO,0,0,258.0,2001,"22,4785",2001,259,2001,2001,
1,1,1,1205,1205,Prarostino,,TO,0,0,1224.0,2001,"10,5052",2001,1219,2001,2001,
1,1,1,1206,1206,Prascorsano,,TO,0,0,756.0,2001,"6,2419",2001,755,2001,2001,
1,1,1,1207,1207,Pratiglione,,TO,0,0,601.0,2001,"7,8803",2001,601,2001,2001,
1,1,1,1208,1208,Quagliuzzo,,TO,0,0,321.0,2001,"2,0380",2001,321,2001,2001,
1,1,1,1209,1209,Quassolo,,TO,0,0,403.0,2001,"3,9559",2001,399,2001,2001,
1,1,1,1210,1210,Quincinetto,,TO,0,0,1080.0,2001,"17,7867",2001,1081,2001,2001,
1,1,1,1211,1211,Reano,,TO,0,0,1437.0,2001,"6,6658",2001,1435,2001,2001,
1,1,1,1212,1212,Ribordone,,TO,0,0,84.0,2001,"43,6001",2001,84,2001,2001,
1,1,1,1213,1213,Rivalba,,TO,0,0,966.0,2001,"10,8334",2001,973,2001,2001,
1,1,1,1214,1214,Rivalta di Torino,,TO,0,0,17565.0,2001,"25,1076",2001,17606,2001,2001,
1,1,1,1215,1215,Riva presso Chieri,,TO,0,0,3833.0,2001,"35,8316",2001,3819,2001,2001,
1,1,1,1216,1216,Rivara,,TO,0,0,2687.0,2001,"12,5714",2001,2680,2001,2001,
1,1,1,1217,1217,Rivarolo Canavese,,TO,0,0,11976.0,2001,"32,2461",2001,11985,2001,2001,
1,1,1,1218,1218,Rivarossa,,TO,0,0,1427.0,2001,"10,8733",2001,1424,2001,2001,
1,1,1,1219,1219,Rivoli,,TO,0,0,49792.0,2001,"29,4999",2001,49789,2001,2001,
1,1,1,1220,1220,Robassomero,,TO,0,0,3028.0,2001,"8,5756",2001,3027,2001,2001,
1,1,1,1221,1221,Rocca Canavese,,TO,0,0,1635.0,2001,"14,1912",2001,1632,2001,2001,
1,1,1,1222,1222,Roletto,,TO,0,0,1994.0,2001,"9,7038",2001,1985,2001,2001,
1,1,1,1223,1223,Romano Canavese,,TO,0,0,2943.0,2001,"11,2107",2001,2935,2001,2001,
1,1,1,1224,1224,Ronco Canavese,,TO,0,0,377.0,2001,"96,2665",2001,375,2001,2001,
1,1,1,1225,1225,Rondissone,,TO,0,0,1655.0,2001,"10,6877",2001,1651,2001,2001,
1,1,1,1226,1226,Rorà,,TO,0,0,259.0,2001,"12,4074",2001,257,2001,2001,
1,1,1,1227,1227,Roure,,TO,0,0,966.0,2001,"59,3732",2001,961,2001,2001,
1,1,1,1228,1228,Rosta,,TO,0,0,3626.0,2001,"9,0650",2001,3619,2001,2001,
1,1,1,1229,1229,Rubiana,,TO,0,0,2048.0,2001,"26,9371",2001,2053,2001,2001,
1,1,1,1230,1230,Rueglio,,TO,0,0,779.0,2001,"15,1002",2001,773,2001,2001,
1,1,1,1231,1231,Salassa,,TO,0,0,1671.0,2001,"4,9519",2001,1672,2001,2001,
1,1,1,1232,1232,Salbertrand,,TO,0,0,466.0,2001,"38,3197",2001,467,2001,2001,
1,1,1,1233,1233,Salerano Canavese,,TO,0,0,532.0,2001,"2,1034",2001,529,2001,2001,
1,1,1,1234,1234,Salza di Pinerolo,,TO,0,0,78.0,2001,"15,8859",2001,78,2001,2001,
1,1,1,1235,1235,Samone,,TO,0,0,1473.0,2001,"2,4329",2001,1476,2001,2001,
1,1,1,1236,1236,San Benigno Canavese,,TO,0,0,5154.0,2001,"22,2318",2001,5143,2001,2001,
1,1,1,1237,1237,San Carlo Canavese,,TO,0,0,3548.0,2001,"20,9069",2001,3552,2001,2001,
1,1,1,1238,1238,San Colombano Belmonte,,TO,0,0,361.0,2001,"3,3810",2001,361,2001,2001,
1,1,1,1239,1239,San Didero,,TO,0,0,430.0,2001,"3,3037",2001,427,2001,2001,
1,1,1,1240,1240,San Francesco al Campo,,TO,0,0,4351.0,2001,"14,9796",2001,4357,2001,2001,
1,1,1,1241,1241,Sangano,,TO,0,0,3705.0,2001,"6,6512",2001,3687,2001,2001,
1,1,1,1242,1242,San Germano Chisone,,TO,0,0,1842.0,2001,"15,8617",2001,1834,2001,2001,
1,1,1,1243,1243,San Gillio,,TO,0,0,2606.0,2001,"8,8865",2001,2602,2001,2001,
1,1,1,1244,1244,San Giorgio Canavese,,TO,0,0,2396.0,2001,"20,4049",2001,2393,2001,2001,
1,1,1,1245,1245,San Giorio di Susa,,TO,0,0,949.0,2001,"19,7218",2001,948,2001,2001,
1,1,1,1246,1246,San Giusto Canavese,,TO,0,0,3080.0,2001,"9,6132",2001,3082,2001,2001,
1,1,1,1247,1247,San Martino Canavese,,TO,0,0,772.0,2001,"9,7933",2001,765,2001,2001,
1,1,1,1248,1248,San Maurizio Canavese,,TO,0,0,7259.0,2001,"17,3442",2001,7241,2001,2001,
1,1,1,1249,1249,San Mauro Torinese,,TO,0,0,17817.0,2001,"12,5518",2001,17801,2001,2001,
1,1,1,1250,1250,San Pietro Val Lemina,,TO,0,0,1477.0,2001,"12,4447",2001,1481,2001,2001,
1,1,1,1251,1251,San Ponso,,TO,0,0,265.0,2001,"2,1243",2001,270,2001,2001,
1,1,1,1252,1252,San Raffaele Cimena,,TO,0,0,2815.0,2001,"11,1520",2001,2820,2001,2001,
1,1,1,1253,1253,San Sebastiano da Po,,TO,0,0,1791.0,2001,"16,5766",2001,1798,2001,2001,
1,1,1,1254,1254,San Secondo di Pinerolo,,TO,0,0,3379.0,2001,"12,5720",2001,3387,2001,2001,
1,1,1,1255,1255,Sant'Ambrogio di Torino,,TO,0,0,4275.0,2001,"8,3681",2001,4270,2001,2001,
1,1,1,1256,1256,Sant'Antonino di Susa,,TO,0,0,4023.0,2001,"9,7945",2001,4017,2001,2001,
